Entity,Year,Monthly sea ice extent in the Arctic
1980,1,14.862
1980,2,15.955
1980,3,16.041
1980,4,15.429
1980,5,13.793
1980,6,12.205
1980,7,10.1
1980,8,7.984
1980,9,7.667
1980,10,9.183
1980,11,11.383
1980,12,13.593
1981,1,14.91
1981,2,15.604
1981,3,15.632
1981,4,15.01
1981,5,13.802
1981,6,12.43
1981,7,10.271
1981,8,7.844
1981,9,7.138
1981,10,8.856
1981,11,10.929
1981,12,13.341
1982,1,15.177
1982,2,15.974
1982,3,16.044
1982,4,15.466
1982,5,13.973
1982,6,12.476
1982,7,10.367
1982,8,8.139
1982,9,7.302
1982,10,9.421
1982,11,11.627
1982,12,13.642
1983,1,14.942
1983,2,16.006
1983,3,16.085
1983,4,15.172
1983,5,13.491
1983,6,12.296
1983,7,10.57
1983,8,8.186
1983,9,7.395
1983,10,9.334
1983,11,11.461
1983,12,13.299
1984,1,14.473
1984,2,15.299
1984,3,15.584
1984,4,15.015
1984,5,13.577
1984,6,12.152
1984,7,9.977
1984,8,7.771
1984,9,6.805
1984,10,8.561
1984,11,10.842
1984,12,12.989
1985,1,14.725
1985,2,15.466
1985,3,15.886
1985,4,15.357
1985,5,14.073
1985,6,12.219
1985,7,9.744
1985,8,7.402
1985,9,6.698
1985,10,8.546
1985,11,11.025
1985,12,13.05
1986,1,14.89
1986,2,15.785
1986,3,15.91
1986,4,15.059
1986,5,13.379
1986,6,11.976
1986,7,10.146
1986,8,7.979
1986,9,7.411
1986,10,9.484
1986,11,11.453
1986,12,13.222
1987,1,14.97
1987,2,16.05
1987,3,15.816
1987,4,15.211
1987,5,13.743
1987,6,12.486
1987,7,10.333
1987,8,7.628
1987,9,7.279
1987,10,9.049
1987,11,11.224
1988,2,15.583
1988,3,15.957
1988,4,15.123
1988,5,13.561
1988,6,11.943
1988,7,9.809
1988,8,7.892
1988,9,7.369
1988,10,9.135
1988,11,11.331
1988,12,13.626
1989,1,14.955
1989,2,15.495
1989,3,15.423
1989,4,14.328
1989,5,13.044
1989,6,12.245
1989,7,10.13
1989,8,7.882
1989,9,7.008
1989,10,8.829
1989,11,11.115
1989,12,13.387
1990,1,14.783
1990,2,15.578
1990,3,15.867
1990,4,14.65
1990,5,13.226
1990,6,11.641
1990,7,9.247
1990,8,6.797
1990,9,6.143
1990,10,8.485
1990,11,11.075
1990,12,13.106
1991,1,14.364
1991,2,15.249
1991,3,15.416
1991,4,14.86
1991,5,13.473
1991,6,12.108
1991,7,9.514
1991,8,7.415
1991,9,6.473
1991,10,8.541
1991,11,10.885
1991,12,12.945
1992,1,14.643
1992,2,15.462
1992,3,15.481
1992,4,14.677
1992,5,13.216
1992,6,12.147
1992,7,10.323
1992,8,7.925
1992,9,7.474
1992,10,9.319
1992,11,11.379
1992,12,13.407
1993,1,14.896
1993,2,15.686
1993,3,15.813
1993,4,15.077
1993,5,13.368
1993,6,11.871
1993,7,9.476
1993,8,7.335
1993,9,6.397
1993,10,8.786
1993,11,11.319
1993,12,13.319
1994,1,14.73
1994,2,15.562
1994,3,15.554
1994,4,14.888
1994,5,13.624
1994,6,12.016
1994,7,9.925
1994,8,7.639
1994,9,7.138
1994,10,8.915
1994,11,11.123
1994,12,13.272
1995,1,14.586
1995,2,15.226
1995,3,15.26
1995,4,14.449
1995,5,12.972
1995,6,11.44
1995,7,8.987
1995,8,6.744
1995,9,6.08
1995,10,7.829
1995,11,10.761
1995,12,12.921
1996,1,14.181
1996,2,15.155
1996,3,15.123
1996,4,14.216
1996,5,13.094
1996,6,12.084
1996,7,10.164
1996,8,8.18
1996,9,7.583
1996,10,9.161
1996,11,10.402
1996,12,12.861
1997,1,14.417
1997,2,15.437
1997,3,15.467
1997,4,14.563
1997,5,13.177
1997,6,11.738
1997,7,9.411
1997,8,7.285
1997,9,6.686
1997,10,8.337
1997,11,10.684
1997,12,13.076
1998,1,14.721
1998,2,15.746
1998,3,15.598
1998,4,14.892
1998,5,13.59
1998,6,11.706
1998,7,9.415
1998,8,7.509
1998,9,6.536
1998,10,8.452
1998,11,10.441
1998,12,12.759
1999,1,14.359
1999,2,15.309
1999,3,15.398
1999,4,15.084
1999,5,13.751
1999,6,11.779
1999,7,9.488
1999,8,7.226
1999,9,6.117
1999,10,8.603
1999,11,10.796
1999,12,12.641
2000,1,14.22
2000,2,15.141
2000,3,15.225
2000,4,14.558
2000,5,13.153
2000,6,11.665
2000,7,9.513
2000,8,7.168
2000,9,6.246
2000,10,8.379
2000,11,10.321
2000,12,12.637
2001,1,14.203
2001,2,15.211
2001,3,15.516
2001,4,14.857
2001,5,13.51
2001,6,11.456
2001,7,9.07
2001,8,7.461
2001,9,6.732
2001,10,8.298
2001,11,10.658
2001,12,12.491
2002,1,14.273
2002,2,15.342
2002,3,15.349
2002,4,14.299
2002,5,12.971
2002,6,11.583
2002,7,9.274
2002,8,6.599
2002,9,5.827
2002,10,8.162
2002,11,10.342
2002,12,12.608
2003,1,14.391
2003,2,15.193
2003,3,15.485
2003,4,14.512
2003,5,13.016
2003,6,11.604
2003,7,9.215
2003,8,6.936
2003,9,6.116
2003,10,7.848
2003,11,10.125
2003,12,12.588
2004,1,14.026
2004,2,14.914
2004,3,14.993
2004,4,13.987
2004,5,12.558
2004,6,11.447
2004,7,9.431
2004,8,6.855
2004,9,5.984
2004,10,7.925
2004,11,10.343
2004,12,12.554
2005,1,13.661
2005,2,14.373
2005,3,14.687
2005,4,14.09
2005,5,12.911
2005,6,11.162
2005,7,8.649
2005,8,6.301
2005,9,5.504
2005,10,7.352
2005,11,10.216
2005,12,12.228
2006,1,13.466
2006,2,14.325
2006,3,14.421
2006,4,13.906
2006,5,12.517
2006,6,10.92
2006,7,8.46
2006,8,6.496
2006,9,5.862
2006,10,7.541
2006,11,9.659
2006,12,11.955
2007,1,13.703
